date,eur_usd,inventory,production,rigs,inflation,wti_6m_rolling,wti_12m_rolling,wti_6m_lag,wti
2006-01-01,1.21255,304091.6405529954,5048.0,1473.0,4.0,62.675214803312635,58.04564035335374,58.99550000000001,65.485
2006-02-01,1.1939736842105262,309749.7397959184,5032.0,1533.0,3.6,62.116187343358405,59.16914912528356,64.98521739130435,61.63105263157895
2006-03-01,1.2028434782608697,322816.12442396313,5027.0,1551.0,3.4,61.63261246413134,59.877349059407415,65.58666666666666,62.68521739130435
2006-04-01,1.227325,328993.5904761905,5082.0,1597.0,3.5,62.82989316588573,61.2494021086973,62.260000000000005,69.44368421052631
2006-05-01,1.2767454545454546,329557.3087557604,5151.0,1635.0,4.2,64.91682498406755,63.00025889080408,58.322500000000005,70.84409090909091
2006-06-01,1.266059090909091,328898.7904761905,5163.0,1665.0,4.3,66.83999237223493,64.21681192110711,59.411904761904765,70.9509090909091
2006-07-01,1.268065,319415.33640553,5094.0,1681.0,4.1,68.32766781083141,65.50144130707203,65.485,74.41105263157894
2006-08-01,1.2810478260869569,315412.7603686636,5040.0,1738.0,3.8,70.22966628527841,66.1729268143184,61.63105263157895,73.04304347826087
2006-09-01,1.2722099999999998,310712.180952381,5031.0,1739.0,2.1,70.41513005339435,66.02387125876285,62.68521739130435,63.798
2006-10-01,1.2617190476190476,316513.1981566821,5108.0,1734.0,1.3,68.6567129880036,65.74330307694466,69.44368421052631,58.89318181818182
2006-11-01,1.2887666666666666,322078.58095238096,5064.0,1706.0,2.0,66.69644783648846,65.80663641027799,70.84409090909091,59.0825
2006-12-01,1.32048,311706.7465437788,5186.0,1718.0,2.5,65.19779632133694,66.01889434678594,70.9509090909091,61.959
2007-01-01,1.2993,303906.995391705,5108.0,1714.0,2.1,61.88031929543886,65.10399355313514,74.41105263157894,54.50619047619048
2007-02-01,1.308021052631579,308904.6581632653,5118.0,1736.0,2.4,59.58630327713223,64.90798478120531,73.04304347826087,59.27894736842105
2007-03-01,1.324590909090909,310610.30414746545,5119.0,1749.0,2.8,59.026939640768596,64.72103484708147,63.798,60.441818181818185
2007-04-01,1.351290476190476,316860.74761904764,5180.0,1750.0,2.6,59.87424267107161,64.26547782953762,58.89318181818182,63.977
2007-05-01,1.3517818181818182,325079.53917050693,5211.0,1748.0,2.7,60.60291691349587,63.64968237499215,59.0825,63.45454545454545
2007-06-01,1.342061904761905,330811.7380952381,5075.0,1771.0,2.7,61.52459151667046,63.36119391900371,61.959,67.48904761904762
2007-07-01,1.3726476190476191,332734.2350230415,5038.0,1777.0,2.4,64.79316294524189,63.33674112034038,54.50619047619048,74.11761904761904
2007-08-01,1.3625869565217392,318561.7603686636,4970.0,1804.0,2.0,66.97268620992533,63.27949474352878,59.27894736842105,72.35608695652174
2007-09-01,1.390985,304696.5904761905,4902.0,1783.0,2.8,70.21817265330652,64.62255614703756,60.441818181818185,79.91473684210526
2007-10-01,1.4233043478260867,300355.81105990784,5022.0,1762.0,3.5,73.85512192866884,66.86468229987024,63.977,85.7986956521739
2007-11-01,1.468252380952381,295003.17142857146,5034.0,1798.0,4.3,79.07476117830808,69.83883904590198,63.45454545454545,94.77238095238096
2007-12-01,1.45588,279186.9078341014,5111.0,1811.0,4.1,83.10775324180015,72.31617237923531,67.48904761904762,91.687
2008-01-01,1.4728142857142856,271909.18894009216,5115.0,1749.0,4.3,86.24989609894301,75.52152952209245,74.11761904761904,92.9704761904762
2008-02-01,1.4759449999999998,286672.3793103448,5148.0,1765.0,4.0,90.08821493952273,78.53045057472403,72.35608695652174,95.386
2008-03-01,1.5520190476190474,295259.03686635947,5189.0,1797.0,4.0,94.34475879917183,82.28146572623918,79.91473684210526,105.454
2008-04-01,1.5753636363636363,299650.74761904764,5180.0,1829.0,3.9,98.80838528138527,86.33175360502706,85.7986956521739,112.58045454545454
2008-05-01,1.5554142857142856,300710.5668202765,5143.0,1863.0,4.2,103.91259163059163,91.49367640444986,94.77238095238096,125.39761904761905
2008-06-01,1.5561714285714283,283885.76666666666,5138.0,1902.0,5.0,110.9447582972583,97.02625576952921,91.687,133.88
2008-07-01,1.5758636363636362,278259.6405529954,5177.0,1932.0,5.6,117.67816378066378,101.96402993980338,92.9704761904762,133.3709090909091
2008-08-01,1.4955380952380952,284622.96774193546,5003.0,1987.0,5.4,121.2248621933622,105.65653856644245,95.386,116.66619047619048
2008-09-01,1.4341666666666666,276892.3619047619,3974.0,2014.0,4.9,121.00157647907649,107.67316763912417,105.454,104.11428571428571
2008-10-01,1.3266272727272728,291545.2626728111,4738.0,1976.0,3.7,115.00628333019637,106.90733430579083,112.58045454545454,76.6086956521739
2008-11-01,1.274422222222222,298533.49523809523,5078.0,1935.0,1.1,103.65825910296162,103.78542536677662,125.39761904761905,57.30947368421053
2008-12-01,1.3511454545454546,302522.4101382489,5103.0,1782.0,0.1,88.19856213326466,99.57166021526147,133.88,41.121818181818185
2009-01-01,1.324445,315490.8156682028,5144.0,1553.0,0.0,72.92174395144647,95.29995386605513,133.3709090909091,41.71
2009-02-01,1.2796842105263158,332214.5969387755,5239.0,1320.0,0.2,59.99194027559016,90.60840123447616,116.66619047619048,39.08736842105263
2009-03-01,1.305031818181818,336563.5253456221,5219.0,1105.0,-0.4,50.6294078080577,85.8154921435671,104.11428571428571,47.93909090909092
2009-04-01,1.3198909090909092,350476.6047619048,5278.0,995.0,-0.7,46.135736310473156,80.57100982033477,76.6086956521739,49.64666666666666
2009-05-01,1.364585,349697.1935483871,5377.0,918.0,-1.3,46.422240696438074,75.04024989969984,57.30947368421053,59.0285
2009-06-01,1.4014454545454549,337515.78095238097,5269.0,895.0,-1.4,51.17542251461989,69.68699232394226,41.121818181818185,69.64090909090909
2009-07-01,1.4091652173913043,327852.5668202765,5398.0,931.0,-2.1,54.915801302498664,63.918772626972576,41.71,64.15227272727272
2009-08-01,1.4266238095238095,327856.07834101387,5418.0,980.0,-1.5,60.24203354978355,60.11698691268686,39.08736842105263,71.04476190476191
2009-09-01,1.4575142857142858,318365.7857142857,5559.0,1009.0,-1.3,63.820200937950936,57.22480437300431,47.93909090909092,69.40809523809523
2009-10-01,1.4821142857142855,320097.0460829493,5524.0,1044.0,-0.2,68.16499891774892,57.15036761411104,49.64666666666666,75.71545454545455
2009-11-01,1.4907526315789474,319715.3904761905,5395.0,1107.0,1.8,71.32524891774891,58.87374480709349,59.0285,77.99
2009-12-01,1.4578545454545455,312005.0921658986,5452.0,1172.0,2.7,72.1300974025974,61.65275995860864,69.64090909090909,74.47
2010-01-01,1.4265736842105263,308393.5529953917,5404.0,1267.0,2.6,74.49235019366598,64.70407574808233,64.15227272727272,78.32578947368421
2010-02-01,1.3679947368421053,314959.1020408163,5553.0,1350.0,2.1,75.38278461304778,67.81240908141565,71.04476190476191,76.38736842105263
